method                        ,description                                                                                                  ,seed ,idx ,circuit  ,V_macros ,HPWL_paper_format ,macro_legality ,data_source
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,0   ,adaptec1 ,         ,9.74              ,               ,extracted from docs/report/
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,1   ,adaptec2 ,         ,32.05             ,               ,extracted from docs/report/
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,2   ,adaptec3 ,         ,53.9              ,               ,extracted from docs/report/
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,3   ,adaptec4 ,         ,54.16             ,               ,extracted from docs/report/
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,4   ,bigblue1 ,         ,2.7               ,               ,extracted from docs/report/
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,5   ,bigblue2 ,         ,58.75             ,               ,extracted from docs/report/
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,6   ,bigblue3 ,         ,30.7              ,               ,extracted from docs/report/
Ablation_10k                  ,Pure supervised fine-tune 10k step (CLAUDE.md best). Per-circuit from ddpo_report_4.md                       ,300  ,7   ,bigblue4 ,         ,124.85            ,               ,extracted from docs/report/
Ablation_10k_no_guidance      ,Ablation 10k + no guidance + opt-adam (Phase 2 Run A)                                                        ,300  ,0   ,adaptec1 ,543      ,11.0492           ,0.9891         ,metrics.csv (on disk)
Ablation_10k_no_guidance      ,Ablation 10k + no guidance + opt-adam (Phase 2 Run A)                                                        ,300  ,1   ,adaptec2 ,566      ,40.1188           ,0.969          ,metrics.csv (on disk)
Ablation_10k_no_guidance      ,Ablation 10k + no guidance + opt-adam (Phase 2 Run A)                                                        ,300  ,2   ,adaptec3 ,723      ,66.6206           ,0.9967         ,metrics.csv (on disk)
Ablation_10k_no_guidance      ,Ablation 10k + no guidance + opt-adam (Phase 2 Run A)                                                        ,300  ,3   ,adaptec4 ,1329     ,61.3064           ,0.9946         ,metrics.csv (on disk)
Ablation_10k_no_guidance      ,Ablation 10k + no guidance + opt-adam (Phase 2 Run A)                                                        ,300  ,4   ,bigblue1 ,560      ,8.8614            ,0.9967         ,metrics.csv (on disk)
Ablation_10k_no_guidance      ,Ablation 10k + no guidance + opt-adam (Phase 2 Run A)                                                        ,300  ,6   ,bigblue3 ,1298     ,98.8203           ,0.9938         ,metrics.csv (on disk)
Ablation_10k_no_guidance      ,Ablation 10k + no guidance + opt-adam (Phase 2 Run A)                                                        ,300  ,7   ,bigblue4 ,8170     ,307.1985          ,0.9866         ,metrics.csv (on disk)
Ablation_10k_repro_opt_only   ,Ablation 10k + opt (Phase 3 reproduce = 44.32)                                                               ,300  ,0   ,adaptec1 ,543      ,9.4409            ,0.9878         ,metrics.csv (on disk)
Ablation_10k_repro_opt_only   ,Ablation 10k + opt (Phase 3 reproduce = 44.32)                                                               ,300  ,1   ,adaptec2 ,566      ,32.2321           ,0.9723         ,metrics.csv (on disk)
Ablation_10k_repro_opt_only   ,Ablation 10k + opt (Phase 3 reproduce = 44.32)                                                               ,300  ,2   ,adaptec3 ,723      ,54.0177           ,0.9948         ,metrics.csv (on disk)
Ablation_10k_repro_opt_only   ,Ablation 10k + opt (Phase 3 reproduce = 44.32)                                                               ,300  ,3   ,adaptec4 ,1329     ,55.9323           ,0.999          ,metrics.csv (on disk)
Ablation_10k_repro_opt_only   ,Ablation 10k + opt (Phase 3 reproduce = 44.32)                                                               ,300  ,4   ,bigblue1 ,560      ,2.7356            ,0.9964         ,metrics.csv (on disk)
Ablation_10k_repro_opt_only   ,Ablation 10k + opt (Phase 3 reproduce = 44.32)                                                               ,300  ,6   ,bigblue3 ,1298     ,30.6128           ,0.9973         ,metrics.csv (on disk)
Ablation_10k_repro_opt_only   ,Ablation 10k + opt (Phase 3 reproduce = 44.32)                                                               ,300  ,7   ,bigblue4 ,8170     ,125.2769          ,0.9897         ,metrics.csv (on disk)
Ablation_5k                   ,Pure supervised fine-tune 5k step (CLAUDE.md; no per-circuit found in reports)                               ,     ,0   ,adaptec1 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
Ablation_5k                   ,Pure supervised fine-tune 5k step (CLAUDE.md; no per-circuit found in reports)                               ,     ,1   ,adaptec2 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
Ablation_5k                   ,Pure supervised fine-tune 5k step (CLAUDE.md; no per-circuit found in reports)                               ,     ,2   ,adaptec3 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
Ablation_5k                   ,Pure supervised fine-tune 5k step (CLAUDE.md; no per-circuit found in reports)                               ,     ,3   ,adaptec4 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
Ablation_5k                   ,Pure supervised fine-tune 5k step (CLAUDE.md; no per-circuit found in reports)                               ,     ,4   ,bigblue1 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
Ablation_5k                   ,Pure supervised fine-tune 5k step (CLAUDE.md; no per-circuit found in reports)                               ,     ,6   ,bigblue3 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
Ablation_5k                   ,Pure supervised fine-tune 5k step (CLAUDE.md; no per-circuit found in reports)                               ,     ,7   ,bigblue4 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,0   ,adaptec1 ,         ,9.47              ,               ,extracted from docs/report/
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,1   ,adaptec2 ,         ,33.54             ,               ,extracted from docs/report/
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,2   ,adaptec3 ,         ,51.6              ,               ,extracted from docs/report/
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,3   ,adaptec4 ,         ,56.14             ,               ,extracted from docs/report/
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,4   ,bigblue1 ,         ,2.59              ,               ,extracted from docs/report/
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,5   ,bigblue2 ,         ,66.49             ,               ,extracted from docs/report/
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,6   ,bigblue3 ,         ,30.32             ,               ,extracted from docs/report/
AddLoss_v1                    ,AddLoss v1 HPWL+legality aux (no timestep weighting). Per-circuit from addloss_report_2.md                   ,300  ,7   ,bigblue4 ,         ,134.05            ,               ,extracted from docs/report/
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,0   ,adaptec1 ,543      ,9.1531            ,0.991          ,metrics.csv (on disk)
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,1   ,adaptec2 ,566      ,31.583            ,0.9843         ,metrics.csv (on disk)
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,2   ,adaptec3 ,723      ,53.6655           ,0.9971         ,metrics.csv (on disk)
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,3   ,adaptec4 ,1329     ,54.8817           ,0.9984         ,metrics.csv (on disk)
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,4   ,bigblue1 ,560      ,2.6512            ,0.9964         ,metrics.csv (on disk)
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,5   ,bigblue2 ,23084    ,65.4938           ,0.9997         ,metrics.csv (on disk)
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,6   ,bigblue3 ,1298     ,34.9113           ,0.9965         ,metrics.csv (on disk)
AddLoss_v2                    ,AddLoss v2 (HPWL+legality + α_t² timestep weighting). On-disk metrics.csv (eval_macro_only.300)              ,300  ,7   ,bigblue4 ,8170     ,129.8074          ,0.9901         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,300  ,0   ,adaptec1 ,543      ,9.1169            ,0.9938         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,300  ,1   ,adaptec2 ,566      ,38.21             ,0.9812         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,300  ,2   ,adaptec3 ,723      ,52.8571           ,0.997          ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,300  ,3   ,adaptec4 ,1329     ,52.4374           ,0.9989         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,300  ,4   ,bigblue1 ,560      ,2.6447            ,0.9965         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,300  ,6   ,bigblue3 ,1298     ,32.3764           ,0.9967         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,300  ,7   ,bigblue4 ,8170     ,129.8866          ,0.9918         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,301  ,0   ,adaptec1 ,543      ,9.576             ,0.9821         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,301  ,1   ,adaptec2 ,566      ,28.3646           ,0.9781         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,301  ,2   ,adaptec3 ,723      ,54.9772           ,0.996          ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,301  ,3   ,adaptec4 ,1329     ,52.0775           ,0.9988         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,301  ,4   ,bigblue1 ,560      ,2.6712            ,0.9966         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,301  ,6   ,bigblue3 ,1298     ,33.9465           ,0.9974         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,301  ,7   ,bigblue4 ,8170     ,131.2338          ,0.9887         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,302  ,0   ,adaptec1 ,543      ,9.0391            ,0.994          ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,302  ,1   ,adaptec2 ,566      ,31.3973           ,0.9781         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,302  ,2   ,adaptec3 ,723      ,52.2143           ,0.9955         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,302  ,3   ,adaptec4 ,1329     ,56.7612           ,0.9989         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,302  ,4   ,bigblue1 ,560      ,2.632             ,0.9967         ,metrics.csv (on disk)
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,302  ,6   ,bigblue3 ,1298     ,38.5643           ,0.9291         ,metrics.csv (on disk)
